[RESULT] [ 83124.242868] Action name :RVS-GPUP-TC1
[RESULT] [ 83124.283880] Module name :gpup
[INFO  ] [ 83124.283899] Missing 'device_index' key.
[RESULT] [ 83124.284100] [RVS-GPUP-TC1] gpup 17010 cpu_cores_count 0
[RESULT] [ 83124.284101] [RVS-GPUP-TC1] gpup 17010 simd_count 1024
[RESULT] [ 83124.284101] [RVS-GPUP-TC1] gpup 17010 mem_banks_count 1
[RESULT] [ 83124.284101] [RVS-GPUP-TC1] gpup 17010 caches_count 548
[RESULT] [ 83124.284102] [RVS-GPUP-TC1] gpup 17010 io_links_count 8
[RESULT] [ 83124.284102] [RVS-GPUP-TC1] gpup 17010 p2p_links_count 1
[RESULT] [ 83124.284103] [RVS-GPUP-TC1] gpup 17010 cpu_core_id_base 0
[RESULT] [ 83124.284103] [RVS-GPUP-TC1] gpup 17010 simd_id_base 2147487744
[RESULT] [ 83124.284103] [RVS-GPUP-TC1] gpup 17010 max_waves_per_simd 8
[RESULT] [ 83124.284104] [RVS-GPUP-TC1] gpup 17010 lds_size_in_kb 160
[RESULT] [ 83124.284104] [RVS-GPUP-TC1] gpup 17010 gds_size_in_kb 0
[RESULT] [ 83124.284104] [RVS-GPUP-TC1] gpup 17010 num_gws 64
[RESULT] [ 83124.284105] [RVS-GPUP-TC1] gpup 17010 wave_front_size 64
[RESULT] [ 83124.284105] [RVS-GPUP-TC1] gpup 17010 array_count 32
[RESULT] [ 83124.284105] [RVS-GPUP-TC1] gpup 17010 simd_arrays_per_engine 1
[RESULT] [ 83124.284106] [RVS-GPUP-TC1] gpup 17010 cu_per_simd_array 9
[RESULT] [ 83124.284106] [RVS-GPUP-TC1] gpup 17010 simd_per_cu 4
[RESULT] [ 83124.284106] [RVS-GPUP-TC1] gpup 17010 max_slots_scratch_cu 32
[RESULT] [ 83124.284107] [RVS-GPUP-TC1] gpup 17010 gfx_target_version 90500
[RESULT] [ 83124.284107] [RVS-GPUP-TC1] gpup 17010 vendor_id 4098
[RESULT] [ 83124.284107] [RVS-GPUP-TC1] gpup 17010 device_id 30115
[RESULT] [ 83124.284108] [RVS-GPUP-TC1] gpup 17010 location_id 29952
[RESULT] [ 83124.284108] [RVS-GPUP-TC1] gpup 17010 domain 0
[RESULT] [ 83124.284108] [RVS-GPUP-TC1] gpup 17010 drm_render_minor 128
[RESULT] [ 83124.284109] [RVS-GPUP-TC1] gpup 17010 hive_id 15543770012376183955
[RESULT] [ 83124.284109] [RVS-GPUP-TC1] gpup 17010 num_sdma_engines 2
[RESULT] [ 83124.284109] [RVS-GPUP-TC1] gpup 17010 num_sdma_xgmi_engines 14
[RESULT] [ 83124.284110] [RVS-GPUP-TC1] gpup 17010 num_sdma_queues_per_engine 8
[RESULT] [ 83124.284110] [RVS-GPUP-TC1] gpup 17010 num_cp_queues 24
[RESULT] [ 83124.284110] [RVS-GPUP-TC1] gpup 17010 cwsr_size 22687744
[RESULT] [ 83124.284111] [RVS-GPUP-TC1] gpup 17010 ctl_stack_size 12288
[RESULT] [ 83124.284111] [RVS-GPUP-TC1] gpup 17010 max_engine_clk_fcompute 2400
[RESULT] [ 83124.284111] [RVS-GPUP-TC1] gpup 17010 local_mem_size 0
[RESULT] [ 83124.284112] [RVS-GPUP-TC1] gpup 17010 fw_version 34
[RESULT] [ 83124.284112] [RVS-GPUP-TC1] gpup 17010 capability 2889327296
[RESULT] [ 83124.284112] [RVS-GPUP-TC1] gpup 17010 capability2 1
[RESULT] [ 83124.284112] [RVS-GPUP-TC1] gpup 17010 debug_prop 1494
[RESULT] [ 83124.284113] [RVS-GPUP-TC1] gpup 17010 sdma_fw_version 12
[RESULT] [ 83124.284113] [RVS-GPUP-TC1] gpup 17010 unique_id 14972926718452068356
[RESULT] [ 83124.284113] [RVS-GPUP-TC1] gpup 17010 num_xcc 8
[RESULT] [ 83124.284114] [RVS-GPUP-TC1] gpup 17010 max_engine_clk_ccompute 3300
[RESULT] [ 83124.284128] [RVS-GPUP-TC1] gpup 17010 0 type 2
[RESULT] [ 83124.284129] [RVS-GPUP-TC1] gpup 17010 0 version_major 0
[RESULT] [ 83124.284129] [RVS-GPUP-TC1] gpup 17010 0 version_minor 0
[RESULT] [ 83124.284129] [RVS-GPUP-TC1] gpup 17010 0 node_from 2
[RESULT] [ 83124.284130] [RVS-GPUP-TC1] gpup 17010 0 node_to 0
[RESULT] [ 83124.284130] [RVS-GPUP-TC1] gpup 17010 0 weight 20
[RESULT] [ 83124.284130] [RVS-GPUP-TC1] gpup 17010 0 min_latency 0
[RESULT] [ 83124.284131] [RVS-GPUP-TC1] gpup 17010 0 max_latency 0
[RESULT] [ 83124.284131] [RVS-GPUP-TC1] gpup 17010 0 min_bandwidth 0
[RESULT] [ 83124.284131] [RVS-GPUP-TC1] gpup 17010 0 max_bandwidth 64000
[RESULT] [ 83124.284132] [RVS-GPUP-TC1] gpup 17010 0 recommended_transfer_size 0
[RESULT] [ 83124.284132] [RVS-GPUP-TC1] gpup 17010 0 recommended_sdma_engine_id_mask 3
[RESULT] [ 83124.284132] [RVS-GPUP-TC1] gpup 17010 0 flags 1
[RESULT] [ 83124.284136] [RVS-GPUP-TC1] gpup 17010 1 type 11
[RESULT] [ 83124.284137] [RVS-GPUP-TC1] gpup 17010 1 version_major 0
[RESULT] [ 83124.284137] [RVS-GPUP-TC1] gpup 17010 1 version_minor 0
[RESULT] [ 83124.284161] [RVS-GPUP-TC1] gpup 17010 1 node_from 2
[RESULT] [ 83124.284161] [RVS-GPUP-TC1] gpup 17010 1 node_to 3
[RESULT] [ 83124.284161] [RVS-GPUP-TC1] gpup 17010 1 weight 15
[RESULT] [ 83124.284162] [RVS-GPUP-TC1] gpup 17010 1 min_latency 0
[RESULT] [ 83124.284162] [RVS-GPUP-TC1] gpup 17010 1 max_latency 0
[RESULT] [ 83124.284162] [RVS-GPUP-TC1] gpup 17010 1 min_bandwidth 76000
[RESULT] [ 83124.284162] [RVS-GPUP-TC1] gpup 17010 1 max_bandwidth 76000
[RESULT] [ 83124.284163] [RVS-GPUP-TC1] gpup 17010 1 recommended_transfer_size 0
[RESULT] [ 83124.284163] [RVS-GPUP-TC1] gpup 17010 1 recommended_sdma_engine_id_mask 4096
[RESULT] [ 83124.284163] [RVS-GPUP-TC1] gpup 17010 1 flags 1
[RESULT] [ 83124.284167] [RVS-GPUP-TC1] gpup 17010 2 type 11
[RESULT] [ 83124.284168] [RVS-GPUP-TC1] gpup 17010 2 version_major 0
[RESULT] [ 83124.284168] [RVS-GPUP-TC1] gpup 17010 2 version_minor 0
[RESULT] [ 83124.284168] [RVS-GPUP-TC1] gpup 17010 2 node_from 2
[RESULT] [ 83124.284169] [RVS-GPUP-TC1] gpup 17010 2 node_to 4
[RESULT] [ 83124.284169] [RVS-GPUP-TC1] gpup 17010 2 weight 15
[RESULT] [ 83124.284169] [RVS-GPUP-TC1] gpup 17010 2 min_latency 0
[RESULT] [ 83124.284169] [RVS-GPUP-TC1] gpup 17010 2 max_latency 0
[RESULT] [ 83124.284170] [RVS-GPUP-TC1] gpup 17010 2 min_bandwidth 76000
[RESULT] [ 83124.284170] [RVS-GPUP-TC1] gpup 17010 2 max_bandwidth 76000
[RESULT] [ 83124.284170] [RVS-GPUP-TC1] gpup 17010 2 recommended_transfer_size 0
[RESULT] [ 83124.284170] [RVS-GPUP-TC1] gpup 17010 2 recommended_sdma_engine_id_mask 1024
[RESULT] [ 83124.284171] [RVS-GPUP-TC1] gpup 17010 2 flags 1
[RESULT] [ 83124.284174] [RVS-GPUP-TC1] gpup 17010 3 type 11
[RESULT] [ 83124.284175] [RVS-GPUP-TC1] gpup 17010 3 version_major 0
[RESULT] [ 83124.284175] [RVS-GPUP-TC1] gpup 17010 3 version_minor 0
[RESULT] [ 83124.284175] [RVS-GPUP-TC1] gpup 17010 3 node_from 2
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 node_to 5
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 weight 15
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 min_latency 0
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 max_latency 0
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 min_bandwidth 76000
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 max_bandwidth 76000
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 recommended_transfer_size 0
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 recommended_sdma_engine_id_mask 4
[RESULT] [ 83124.284178] [RVS-GPUP-TC1] gpup 17010 3 flags 1
[RESULT] [ 83124.284181] [RVS-GPUP-TC1] gpup 17010 4 type 11
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 version_major 0
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 version_minor 0
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 node_from 2
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 node_to 6
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 weight 15
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 min_latency 0
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 max_latency 0
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 min_bandwidth 76000
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 max_bandwidth 76000
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 recommended_transfer_size 0
