gpus,precision,per_gpu_peak_tflops,aggregate_tflops,gpus_reporting
1,fp4,"gpu42583=3975.67",3975.67,1
1,fp6,"gpu42583=1238.05",1238.05,1
1,bf6,"gpu42583=1238.56",1238.56,1
1,fp8,"gpu42583=3564.06",3564.06,1
1,bf8,"gpu42583=3220.37",3220.37,1
1,fp16,"gpu42583=1521.82",1521.82,1
1,bf16,"gpu42583=1627.98",1627.98,1
1,fp32,"gpu42583=152.82",152.82,1
1,fp64,"gpu42583=76.62",76.62,1
2,fp4,"gpu27226=3949.18;gpu42583=3952.36",7901.55,2
2,fp6,"gpu27226=1237.51;gpu42583=1238.32",2475.82,2
2,bf6,"gpu27226=1236.87;gpu42583=1238.13",2475.00,2
2,fp8,"gpu27226=3683.46;gpu42583=3689.64",7373.09,2
2,bf8,"gpu27226=3180.26;gpu42583=3291.95",6472.21,2
2,fp16,"gpu27226=1527.60;gpu42583=1534.56",3062.16,2
2,bf16,"gpu27226=1637.40;gpu42583=1650.92",3288.31,2
2,fp32,"gpu27226=153.77;gpu42583=153.03",306.80,2
2,fp64,"gpu27226=76.78;gpu42583=76.67",153.44,2
3,fp4,"gpu27226=3544.44;gpu36479=3933.78;gpu42583=3546.32",11024.54,3
3,fp6,"gpu27226=1238.81;gpu36479=1240.43;gpu42583=1238.27",3717.51,3
3,bf6,"gpu27226=1236.99;gpu36479=1241.97;gpu42583=1237.59",3716.55,3
3,fp8,"gpu27226=3604.96;gpu36479=3683.46;gpu42583=3652.86",10941.27,3
3,bf8,"gpu27226=3352.17;gpu36479=3282.12;gpu42583=3306.80",9941.09,3
3,fp16,"gpu27226=1529.00;gpu36479=1531.35;gpu42583=1532.42",4592.77,3
3,bf16,"gpu27226=1669.72;gpu36479=1635.19;gpu42583=1630.12",4935.02,3
3,fp32,"gpu27226=153.40;gpu36479=153.72;gpu42583=152.87",459.98,3
3,fp64,"gpu27226=76.75;gpu36479=77.06;gpu42583=76.66",230.46,3
4,fp4,"gpu17010=3504.01;gpu27226=3652.28;gpu36479=3920.13;gpu42583=3913.92",14990.34,4
4,fp6,"gpu17010=1239.18;gpu27226=1237.36;gpu36479=1240.07;gpu42583=1239.54",4956.15,4
4,bf6,"gpu17010=1240.09;gpu27226=1237.38;gpu36479=1240.35;gpu42583=1235.49",4953.32,4
4,fp8,"gpu17010=3671.16;gpu27226=3593.18;gpu36479=3646.80;gpu42583=3529.73",14440.87,4
4,bf8,"gpu17010=3393.55;gpu27226=3214.95;gpu36479=3352.17;gpu42583=3248.19",13208.86,4
4,fp16,"gpu17010=1548.24;gpu27226=1548.61;gpu36479=1539.93;gpu42583=1513.44",6150.21,4
4,bf16,"gpu17010=1659.64;gpu27226=1635.84;gpu36479=1636.05;gpu42583=1631.32",6562.85,4
4,fp32,"gpu17010=154.21;gpu27226=153.33;gpu36479=153.72;gpu42583=152.87",614.13,4
4,fp64,"gpu17010=77.04;gpu27226=76.78;gpu36479=77.01;gpu42583=76.74",307.57,4
5,fp4,"gpu1590=3029.57;gpu17010=3028.96;gpu27226=1660.65;gpu36479=2868.44;gpu42583=3027.59",13615.21,5
5,fp6,"gpu1590=1238.70;gpu17010=1239.57;gpu27226=1238.16;gpu36479=1240.80;gpu42583=1238.38",6195.61,5
5,bf6,"gpu1590=1238.54;gpu17010=1239.16;gpu27226=1238.16;gpu36479=1241.73;gpu42583=1239.16",6196.74,5
5,fp8,"gpu1590=3546.81;gpu17010=3714.57;gpu27226=3628.75;gpu36479=3628.75;gpu42583=3610.88",18129.75,5
