GPUs  Prec   Aggregate    Avg/GPU         Per-GPU peaks (TFLOPS)
--------------------------------------------------------------------------------
1     fp4    3975.67      3975.67         gpu42583=3975.67
1     fp6    1238.05      1238.05         gpu42583=1238.05
1     bf6    1238.56      1238.56         gpu42583=1238.56
1     fp8    3564.06      3564.06         gpu42583=3564.06
1     bf8    3220.37      3220.37         gpu42583=3220.37
1     fp16   1521.82      1521.82         gpu42583=1521.82
1     bf16   1627.98      1627.98         gpu42583=1627.98
1     fp32   152.82       152.82          gpu42583=152.82
1     fp64   76.62        76.62           gpu42583=76.62
2     fp4    7901.55      3950.78         gpu27226=3949.18;gpu42583=3952.36
2     fp6    2475.82      1237.91         gpu27226=1237.51;gpu42583=1238.32
2     bf6    2475.00      1237.50         gpu27226=1236.87;gpu42583=1238.13
2     fp8    7373.09      3686.55         gpu27226=3683.46;gpu42583=3689.64
2     bf8    6472.21      3236.11         gpu27226=3180.26;gpu42583=3291.95
2     fp16   3062.16      1531.08         gpu27226=1527.60;gpu42583=1534.56
2     bf16   3288.31      1644.15         gpu27226=1637.40;gpu42583=1650.92
2     fp32   306.80       153.40          gpu27226=153.77;gpu42583=153.03
2     fp64   153.44       76.72           gpu27226=76.78;gpu42583=76.67
3     fp4    11024.54     3674.85         gpu27226=3544.44;gpu36479=3933.78;gpu42583=3546.32
3     fp6    3717.51      1239.17         gpu27226=1238.81;gpu36479=1240.43;gpu42583=1238.27
3     bf6    3716.55      1238.85         gpu27226=1236.99;gpu36479=1241.97;gpu42583=1237.59
3     fp8    10941.27     3647.09         gpu27226=3604.96;gpu36479=3683.46;gpu42583=3652.86
3     bf8    9941.09      3313.70         gpu27226=3352.17;gpu36479=3282.12;gpu42583=3306.80
3     fp16   4592.77      1530.92         gpu27226=1529.00;gpu36479=1531.35;gpu42583=1532.42
3     bf16   4935.02      1645.01         gpu27226=1669.72;gpu36479=1635.19;gpu42583=1630.12
3     fp32   459.98       153.33          gpu27226=153.40;gpu36479=153.72;gpu42583=152.87
3     fp64   230.46       76.82           gpu27226=76.75;gpu36479=77.06;gpu42583=76.66
4     fp4    14990.34     3747.59         gpu17010=3504.01;gpu27226=3652.28;gpu36479=3920.13;gpu42583=3913.92
4     fp6    4956.15      1239.04         gpu17010=1239.18;gpu27226=1237.36;gpu36479=1240.07;gpu42583=1239.54
4     bf6    4953.32      1238.33         gpu17010=1240.09;gpu27226=1237.38;gpu36479=1240.35;gpu42583=1235.49
4     fp8    14440.87     3610.22         gpu17010=3671.16;gpu27226=3593.18;gpu36479=3646.80;gpu42583=3529.73
