model,run,max_concurrency,output_throughput,total_token_throughput,request_throughput,median_ttft_ms,p99_ttft_ms,median_tpot_ms,p99_tpot_ms,completed
Qwen3-8B-FP8,sweep_20260814_160237,1,159.3348183632856,317.5456120691354,0.1729268703747402,45.83563898631837,51.855897266068496,6.243322996458776,6.2842633694466254,10
Qwen3-8B-FP8,sweep_20260814_160237,2,301.0334071885874,596.5627552882414,0.32187480052241363,36.51027200976387,97.57404946547467,6.569312551203998,6.6736945819070606,20
Qwen3-8B-FP8,sweep_20260814_160237,4,573.6498279478606,1152.9097321231661,0.6250781311916539,42.682970510213636,89.43073609145358,6.707078350160003,6.7660151655942755,40
Qwen3-8B-FP8,sweep_20260814_160237,8,1146.31922616605,2284.1713041583093,1.2338285134849716,42.2823324915953,145.29746154061286,6.768615236610074,6.818838192417336,80
Qwen3-8B-FP8,sweep_20260814_160237,16,2183.4240374944793,4390.091365343949,2.383927215896472,43.11301298730541,246.33437727112323,7.1085988662963935,7.223552207182446,160
Qwen3-8B-FP8,sweep_20260814_160237,32,4028.8527045441233,8044.961094403782,4.361690587196469,43.13367798749823,475.21902286564,7.6680883581454715,7.847659331099682,320
Qwen3-8B-FP8,sweep_20260814_160237,64,7258.525667482402,14520.324039139405,7.874175457680656,53.26107349537779,915.0790731786401,8.407185441096066,8.884660306853746,640
Qwen3-8B-FP8,sweep_20260814_160237,128,11110.76914682784,22245.946866493887,12.076912730151923,68.24062101077288,1782.504589293385,11.143640480953371,11.692810679988069,1280
Qwen3-8B-FP8,sweep_20260814_160237,256,14962.675976139222,29910.89057447966,16.230217959177654,182.17492650728673,3565.9932804456907,16.33944581430722,17.883207957448377,2560
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,1,101.09490858851552,201.4766449328099,0.10971880680325105,71.88862501061521,129.57043013331716,9.809937728351207,9.898202055650858,10
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,2,191.0837826999633,378.67381219578937,0.204313052873524,71.24906100216322,140.94665467273444,10.362919384633802,10.427936211733313,20
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,4,373.70828896583964,751.0713022700904,0.40721162544971495,72.08376699418295,148.86517902457854,10.278926137597459,10.357311260013283,40
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,8,710.95462551767,1416.6578707725894,0.7652284535884293,71.85817099525593,222.23883916041814,10.930599521305373,11.037387489092382,80
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,16,1352.0756143825126,2718.5445328357537,1.47623631494648,71.76307249756064,387.60303652641596,11.492940716684819,11.717055724404672,160
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,32,2432.4210925631405,4857.147801111251,2.633372069315027,72.81122449785471,753.6949924900546,12.741679495713546,13.095585838597524,320
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,64,4124.818692188228,8251.497171332072,4.4746753819328156,91.92783950129524,1397.7251824893756,15.001884111687334,15.604201752775468,640
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,128,6412.513311566388,12839.113883535088,6.970117245828576,110.32614801661111,2942.0318664764636,19.471718602267757,20.43822815155513,1280
Llama-3.1-70B-Instruct-FP8,sweep_20260814_161953,256,9342.377959860232,18675.72654172471,10.133804326669207,154.47967301588506,5469.9911576806335,26.738803698452276,28.44003603457076,2560
Kimi-K3,sweep_20260814_164903,1,46.05267941249689,91.78048101277192,0.04998120188028749,224.92752999824006,273.83496133668814,21.47776901175074,21.558900806035197,10
Kimi-K3,sweep_20260814_164903,2,87.04768451104471,172.50379948973028,0.09307424165842791,251.54500899952836,446.16657269652933,22.57921275248911,22.98295372840597,20
Kimi-K3,sweep_20260814_164903,4,154.22078256887514,309.94978549085783,0.16804683600084463,256.5472360001877,495.11897257121745,24.975216002916294,25.319203682274928,40
Kimi-K3,sweep_20260814_164903,8,288.03617895286703,573.9448135437998,0.31002467933467914,257.51990551361814,622.8525580672431,27.020413991039213,27.75675666871159,80
Kimi-K3,sweep_20260814_164903,16,500.85604527363324,1007.0438732364898,0.5468495065870176,261.66396850021556,1073.3801036863588,31.20646618849842,32.24045896497848,160
Kimi-K3,sweep_20260814_164903,32,824.0122682259137,1645.420757932494,0.8920868588721614,273.9250149897998,1896.8940892111277,37.83149639763449,40.08117309142506,320
Kimi-K3,sweep_20260814_164903,64,1258.4912264227435,2517.5498779231248,1.3652332695051974,285.59165248589125,4236.388809477212,49.910597106641625,53.09642799146985,640
