run,collective,config,gpus,max_size_bytes,busbw_at_max_GBps,peak_busbw_GBps,n_sizes
rccl_all_20260813_211021,all_gather,default,2,8589934592,59.8,59.8,10
rccl_all_20260813_211021,all_gather,default,3,8589934560,90.4,90.4,10
rccl_all_20260813_211021,all_gather,default,4,8589934592,167.86,167.86,10
rccl_all_20260813_211021,all_gather,default,5,8589934560,45.8,45.8,10
rccl_all_20260813_211021,all_gather,default,6,8589934560,44.47,44.47,10
rccl_all_20260813_211021,all_gather,default,7,8589934528,43.72,43.72,10
rccl_all_20260813_211021,all_gather,default,8,8589934592,389.2,389.2,10
rccl_all_20260813_211021,all_reduce,default,2,8589934592,59.67,59.67,10
rccl_all_20260813_211021,all_reduce,default,3,8589934592,92.75,92.75,10
rccl_all_20260813_211021,all_reduce,default,4,8589934592,169.78,171.15,10
rccl_all_20260813_211021,all_reduce,default,5,8589934592,48.01,48.01,10
rccl_all_20260813_211021,all_reduce,default,6,8589934592,47.68,47.72,10
rccl_all_20260813_211021,all_reduce,default,7,8589934592,47.59,47.6,10
rccl_all_20260813_211021,all_reduce,default,8,8589934592,396.58,396.58,10
rccl_all_20260813_211021,alltoall,default,2,4294967296,58.19,58.19,9
rccl_all_20260813_211021,alltoall,default,3,4294967280,116.15,116.51,9
rccl_all_20260813_211021,alltoall,default,4,4294967296,154.11,154.71,9
rccl_all_20260813_211021,alltoall,default,5,4294967280,61.38,61.72,9
rccl_all_20260813_211021,alltoall,default,6,4294967232,61.47,61.47,9
rccl_all_20260813_211021,alltoall,default,7,4294967264,62.1,62.1,9
rccl_all_20260813_211021,alltoall,default,8,4294967296,346.42,346.42,9
rccl_all_20260813_211021,alltoallv,default,2,4294967296,58.28,58.28,9
rccl_all_20260813_211021,alltoallv,default,3,4294967280,88.45,88.45,9
rccl_all_20260813_211021,alltoallv,default,4,4294967296,114.29,114.58,9
rccl_all_20260813_211021,alltoallv,default,5,4294967280,45.38,47.89,9
rccl_all_20260813_211021,alltoallv,default,6,4294967232,41.61,43.94,9
rccl_all_20260813_211021,alltoallv,default,7,4294967264,40.36,44.75,9
rccl_all_20260813_211021,alltoallv,default,8,4294967296,212.21,212.21,9
rccl_all_20260813_211021,broadcast,default,2,8589934592,61.97,61.97,10
rccl_all_20260813_211021,broadcast,default,3,8589934592,88.88,88.88,10
rccl_all_20260813_211021,broadcast,default,4,8589934592,175.02,175.02,10
rccl_all_20260813_211021,broadcast,default,5,8589934592,39.57,39.57,10
rccl_all_20260813_211021,broadcast,default,6,8589934592,39.36,39.36,10
rccl_all_20260813_211021,broadcast,default,7,8589934592,39.31,39.31,10
rccl_all_20260813_211021,broadcast,default,8,8589934592,389.56,389.56,10
rccl_all_20260813_211021,gather,default,2,8589934592,61.56,69.32,10
rccl_all_20260813_211021,gather,default,3,8589934560,122.33,137.39,10
rccl_all_20260813_211021,gather,default,4,8589934592,182.77,206.62,10
rccl_all_20260813_211021,gather,default,5,8589934560,78.28,113.07,10
rccl_all_20260813_211021,gather,default,6,8589934560,73.38,117.91,10
rccl_all_20260813_211021,gather,default,7,8589934528,79.17,134.51,10
rccl_all_20260813_211021,gather,default,8,8589934592,426.03,449.88,10
rccl_all_20260813_211021,reduce,default,2,8589934592,62.08,69.87,10
rccl_all_20260813_211021,reduce,default,3,8589934592,99.28,102.02,10
rccl_all_20260813_211021,reduce,default,4,8589934592,170.92,186.67,10
rccl_all_20260813_211021,reduce,default,5,8589934592,45.67,46.6,10
rccl_all_20260813_211021,reduce,default,6,8589934592,45.8,46.76,10
rccl_all_20260813_211021,reduce,default,7,8589934592,45.51,46.4,10
rccl_all_20260813_211021,reduce,default,8,8589934592,330.35,339.82,10
rccl_all_20260813_211021,reduce_scatter,default,2,8589934592,57.76,58.81,10
rccl_all_20260813_211021,reduce_scatter,default,3,8589934560,81.38,82.06,10
rccl_all_20260813_211021,reduce_scatter,default,4,8589934592,166.62,173.2,10
rccl_all_20260813_211021,reduce_scatter,default,5,8589934560,46.34,47.03,10
rccl_all_20260813_211021,reduce_scatter,default,6,8589934560,47.19,47.62,10
rccl_all_20260813_211021,reduce_scatter,default,7,8589934528,47.78,48.37,10
rccl_all_20260813_211021,reduce_scatter,default,8,8589934592,387.34,408.82,10
rccl_all_20260813_211021,scatter,default,2,8589934592,61.37,64.18,10
rccl_all_20260813_211021,scatter,default,3,8589934560,122.47,128.85,10
rccl_all_20260813_211021,scatter,default,4,8589934592,179.98,191.15,10
rccl_all_20260813_211021,scatter,default,5,8589934560,69.37,73.87,10
rccl_all_20260813_211021,scatter,default,6,8589934560,74.49,79.08,10
rccl_all_20260813_211021,scatter,default,7,8589934528,73.63,79.24,10
rccl_all_20260813_211021,scatter,default,8,8589934592,396.63,430.14,10
rccl_all_20260813_211021,sendrecv,default,2,8589934592,58.44,58.44,10
rccl_all_20260813_211021,sendrecv,default,3,8589934592,60.91,61.14,10
rccl_all_20260813_211021,sendrecv,default,4,8589934592,60.42,60.69,10
rccl_all_20260813_211021,sendrecv,default,5,8589934592,60.34,60.6,10
rccl_all_20260813_211021,sendrecv,default,6,8589934592,60.63,60.87,10
rccl_all_20260813_211021,sendrecv,default,7,8589934592,60.27,60.31,10
rccl_all_20260813_211021,sendrecv,default,8,8589934592,60.22,60.7,10
rccl_tests_20260813_213348,all_gather,default,2,8589934592,59.61,59.61,10
rccl_tests_20260813_213348,all_gather,default,3,8589934560,90.39,90.39,10
rccl_tests_20260813_213348,all_gather,default,4,8589934592,167.55,167.55,10
rccl_tests_20260813_213348,all_gather,default,5,8589934560,45.84,45.84,10
rccl_tests_20260813_213348,all_gather,default,6,8589934560,44.53,44.53,10
rccl_tests_20260813_213348,all_gather,default,7,8589934528,43.8,43.8,10
rccl_tests_20260813_213348,all_gather,default,8,8589934592,388.1,388.36,10
rccl_tests_20260813_213348,all_gather,no_mscll,2,8589934592,59.65,59.65,10
rccl_tests_20260813_213348,all_gather,no_mscll,3,8589934560,90.37,90.37,10
rccl_tests_20260813_213348,all_gather,no_mscll,4,8589934592,167.64,167.64,10
rccl_tests_20260813_213348,all_gather,no_mscll,5,8589934560,45.83,45.83,10
rccl_tests_20260813_213348,all_gather,no_mscll,6,8589934560,44.46,44.46,10
rccl_tests_20260813_213348,all_gather,no_mscll,7,8589934528,43.47,43.47,10
rccl_tests_20260813_213348,all_gather,no_mscll,8,8589934592,389.13,389.13,10
rccl_tests_20260813_213348,all_gather,proto_simple,2,8589934592,59.74,59.74,10
rccl_tests_20260813_213348,all_gather,proto_simple,3,8589934560,90.43,90.43,10
rccl_tests_20260813_213348,all_gather,proto_simple,4,8589934592,167.76,167.76,10
rccl_tests_20260813_213348,all_gather,proto_simple,5,8589934560,45.86,45.86,10
rccl_tests_20260813_213348,all_gather,proto_simple,6,8589934560,44.53,44.53,10
rccl_tests_20260813_213348,all_gather,proto_simple,7,8589934528,43.74,43.74,10
rccl_tests_20260813_213348,all_gather,proto_simple,8,8589934592,389.57,389.57,10
rccl_tests_20260813_213348,all_gather,ring,2,8589934592,59.72,59.72,10
rccl_tests_20260813_213348,all_gather,ring,3,8589934560,90.38,90.38,10
rccl_tests_20260813_213348,all_gather,ring,4,8589934592,168.05,168.05,10
rccl_tests_20260813_213348,all_gather,ring,5,8589934560,45.93,45.93,10
rccl_tests_20260813_213348,all_gather,ring,6,8589934560,44.51,44.51,10
rccl_tests_20260813_213348,all_gather,ring,7,8589934528,43.44,43.49,10
rccl_tests_20260813_213348,all_gather,ring,8,8589934592,388.94,388.94,10
rccl_tests_20260813_213348,all_gather,tree,2,8589934592,59.79,59.79,10
rccl_tests_20260813_213348,all_gather,tree,3,8589934560,90.56,90.56,10
rccl_tests_20260813_213348,all_gather,tree,4,8589934592,168.2,168.2,10
rccl_tests_20260813_213348,all_gather,tree,5,8589934560,45.82,45.82,10
rccl_tests_20260813_213348,all_gather,tree,6,8589934560,44.4,44.4,10
rccl_tests_20260813_213348,all_gather,tree,7,8589934528,43.7,43.7,10
rccl_tests_20260813_213348,all_gather,tree,8,8589934592,388.54,388.54,10
rccl_tests_20260813_213348,all_reduce,default,2,8589934592,59.63,59.66,10
rccl_tests_20260813_213348,all_reduce,default,3,8589934592,92.41,92.41,10
rccl_tests_20260813_213348,all_reduce,default,4,8589934592,169.47,169.88,10
