run,gpus,precision,aggregate_tflops,avg_per_gpu_tflops,gpus_reporting,pct_of_peak,min_per_gpu,max_per_gpu,spread_pct,per_gpu_peak_tflops
sweep_20260813_184243,1,fp4,3975.67,3975.67,1,39.8,3975.67,3975.67,0.0,gpu42583=3975.67
sweep_20260813_184243,1,fp6,1238.05,1238.05,1,12.4,1238.05,1238.05,0.0,gpu42583=1238.05
sweep_20260813_184243,1,bf6,1238.56,1238.56,1,12.4,1238.56,1238.56,0.0,gpu42583=1238.56
sweep_20260813_184243,1,fp8,3564.06,3564.06,1,71.3,3564.06,3564.06,0.0,gpu42583=3564.06
sweep_20260813_184243,1,bf8,3220.37,3220.37,1,64.4,3220.37,3220.37,0.0,gpu42583=3220.37
sweep_20260813_184243,1,fp16,1521.82,1521.82,1,60.9,1521.82,1521.82,0.0,gpu42583=1521.82
sweep_20260813_184243,1,bf16,1627.98,1627.98,1,65.1,1627.98,1627.98,0.0,gpu42583=1627.98
sweep_20260813_184243,1,fp32,152.82,152.82,1,97.2,152.82,152.82,0.0,gpu42583=152.82
sweep_20260813_184243,1,fp64,76.62,76.62,1,97.5,76.62,76.62,0.0,gpu42583=76.62
sweep_20260813_184243,2,fp4,7901.55,3950.775,2,39.5,3949.18,3952.36,0.1,gpu27226=3949.18;gpu42583=3952.36
sweep_20260813_184243,2,fp6,2475.82,1237.91,2,12.4,1237.51,1238.32,0.1,gpu27226=1237.51;gpu42583=1238.32
sweep_20260813_184243,2,bf6,2475.0,1237.5,2,12.4,1236.87,1238.13,0.1,gpu27226=1236.87;gpu42583=1238.13
sweep_20260813_184243,2,fp8,7373.09,3686.545,2,73.7,3683.46,3689.64,0.2,gpu27226=3683.46;gpu42583=3689.64
sweep_20260813_184243,2,bf8,6472.21,3236.105,2,64.7,3180.26,3291.95,3.4,gpu27226=3180.26;gpu42583=3291.95
sweep_20260813_184243,2,fp16,3062.16,1531.08,2,61.2,1527.6,1534.56,0.5,gpu27226=1527.60;gpu42583=1534.56
sweep_20260813_184243,2,bf16,3288.31,1644.155,2,65.8,1637.4,1650.92,0.8,gpu27226=1637.40;gpu42583=1650.92
sweep_20260813_184243,2,fp32,306.8,153.4,2,97.5,153.03,153.77,0.5,gpu27226=153.77;gpu42583=153.03
sweep_20260813_184243,2,fp64,153.44,76.72,2,97.6,76.67,76.78,0.1,gpu27226=76.78;gpu42583=76.67
sweep_20260813_184243,3,fp4,11024.54,3674.846666666667,3,36.7,3544.44,3933.78,9.9,gpu27226=3544.44;gpu36479=3933.78;gpu42583=3546.32
sweep_20260813_184243,3,fp6,3717.51,1239.17,3,12.4,1238.27,1240.43,0.2,gpu27226=1238.81;gpu36479=1240.43;gpu42583=1238.27
sweep_20260813_184243,3,bf6,3716.55,1238.8500000000001,3,12.4,1236.99,1241.97,0.4,gpu27226=1236.99;gpu36479=1241.97;gpu42583=1237.59
sweep_20260813_184243,3,fp8,10941.27,3647.09,3,72.9,3604.96,3683.46,2.1,gpu27226=3604.96;gpu36479=3683.46;gpu42583=3652.86
sweep_20260813_184243,3,bf8,9941.09,3313.6966666666667,3,66.3,3282.12,3352.17,2.1,gpu27226=3352.17;gpu36479=3282.12;gpu42583=3306.80
sweep_20260813_184243,3,fp16,4592.77,1530.9233333333334,3,61.2,1529.0,1532.42,0.2,gpu27226=1529.00;gpu36479=1531.35;gpu42583=1532.42
sweep_20260813_184243,3,bf16,4935.02,1645.006666666667,3,65.8,1630.12,1669.72,2.4,gpu27226=1669.72;gpu36479=1635.19;gpu42583=1630.12
sweep_20260813_184243,3,fp32,459.98,153.32666666666668,3,97.5,152.87,153.72,0.6,gpu27226=153.40;gpu36479=153.72;gpu42583=152.87
sweep_20260813_184243,3,fp64,230.46,76.82000000000001,3,97.7,76.66,77.06,0.5,gpu27226=76.75;gpu36479=77.06;gpu42583=76.66
sweep_20260813_184243,4,fp4,14990.34,3747.585,4,37.5,3504.01,3920.13,10.6,gpu17010=3504.01;gpu27226=3652.28;gpu36479=3920.13;gpu42583=3913.92
sweep_20260813_184243,4,fp6,4956.15,1239.0375,4,12.4,1237.36,1240.07,0.2,gpu17010=1239.18;gpu27226=1237.36;gpu36479=1240.07;gpu42583=1239.54
sweep_20260813_184243,4,bf6,4953.32,1238.33,4,12.4,1235.49,1240.35,0.4,gpu17010=1240.09;gpu27226=1237.38;gpu36479=1240.35;gpu42583=1235.49
sweep_20260813_184243,4,fp8,14440.87,3610.2175,4,72.2,3529.73,3671.16,3.9,gpu17010=3671.16;gpu27226=3593.18;gpu36479=3646.80;gpu42583=3529.73
sweep_20260813_184243,4,bf8,13208.86,3302.215,4,66.0,3214.95,3393.55,5.3,gpu17010=3393.55;gpu27226=3214.95;gpu36479=3352.17;gpu42583=3248.19
sweep_20260813_184243,4,fp16,6150.21,1537.5525,4,61.5,1513.44,1548.61,2.3,gpu17010=1548.24;gpu27226=1548.61;gpu36479=1539.93;gpu42583=1513.44
sweep_20260813_184243,4,bf16,6562.85,1640.7125,4,65.6,1631.32,1659.64,1.7,gpu17010=1659.64;gpu27226=1635.84;gpu36479=1636.05;gpu42583=1631.32
sweep_20260813_184243,4,fp32,614.13,153.5325,4,97.6,152.87,154.21,0.9,gpu17010=154.21;gpu27226=153.33;gpu36479=153.72;gpu42583=152.87
sweep_20260813_184243,4,fp64,307.57,76.8925,4,97.8,76.74,77.04,0.4,gpu17010=77.04;gpu27226=76.78;gpu36479=77.01;gpu42583=76.74
sweep_20260813_184243,5,fp4,13615.21,2723.042,5,27.2,1660.65,3029.57,45.2,gpu1590=3029.57;gpu17010=3028.96;gpu27226=1660.65;gpu36479=2868.44;gpu42583=3027.59
sweep_20260813_184243,5,fp6,6195.61,1239.1219999999998,5,12.4,1238.16,1240.8,0.2,gpu1590=1238.70;gpu17010=1239.57;gpu27226=1238.16;gpu36479=1240.80;gpu42583=1238.38
sweep_20260813_184243,5,bf6,6196.74,1239.348,5,12.4,1238.16,1241.73,0.3,gpu1590=1238.54;gpu17010=1239.16;gpu27226=1238.16;gpu36479=1241.73;gpu42583=1239.16
sweep_20260813_184243,5,fp8,18129.75,3625.95,5,72.5,3546.81,3714.57,4.5,gpu1590=3546.81;gpu17010=3714.57;gpu27226=3628.75;gpu36479=3628.75;gpu42583=3610.88
sweep_20260813_184243,5,bf8,16256.3,3251.2599999999998,5,65.0,3191.61,3296.89,3.2,gpu1590=3262.64;gpu17010=3296.89;gpu27226=3191.61;gpu36479=3227.92;gpu42583=3277.23
sweep_20260813_184243,5,fp16,7684.48,1536.896,5,61.5,1510.64,1577.49,4.2,gpu1590=1511.36;gpu17010=1577.49;gpu27226=1526.51;gpu36479=1558.48;gpu42583=1510.64
sweep_20260813_184243,5,bf16,8153.17,1630.634,5,65.2,1608.84,1656.49,2.9,gpu1590=1608.84;gpu17010=1656.49;gpu27226=1635.68;gpu36479=1626.62;gpu42583=1625.54
sweep_20260813_184243,5,fp32,767.09,153.418,5,97.5,152.75,154.36,1.0,gpu1590=152.75;gpu17010=154.36;gpu27226=153.51;gpu36479=153.62;gpu42583=152.86
sweep_20260813_184243,5,fp64,384.11,76.822,5,97.7,76.6,77.08,0.6,gpu1590=76.69;gpu17010=77.08;gpu27226=76.74;gpu36479=76.99;gpu42583=76.60
sweep_20260813_184243,6,fp4,16566.42,2761.0699999999997,6,27.6,1643.17,3706.72,55.7,gpu1590=1643.17;gpu17010=3678.17;gpu27226=3233.86;gpu36479=2520.29;gpu42583=1784.21;gpu51771=3706.72
sweep_20260813_184243,6,fp6,7435.88,1239.3133333333333,6,12.4,1238.28,1240.77,0.2,gpu1590=1240.77;gpu17010=1238.92;gpu27226=1238.31;gpu36479=1240.39;gpu42583=1239.20;gpu51771=1238.28
sweep_20260813_184243,6,bf6,7437.27,1239.545,6,12.4,1237.97,1241.72,0.3,gpu1590=1239.96;gpu17010=1239.91;gpu27226=1238.12;gpu36479=1241.72;gpu42583=1239.58;gpu51771=1237.97
sweep_20260813_184243,6,fp8,21733.58,3622.263333333334,6,72.4,3501.3,3778.39,7.3,gpu1590=3501.30;gpu17010=3695.84;gpu27226=3564.06;gpu36479=3528.95;gpu42583=3665.04;gpu51771=3778.39
sweep_20260813_184243,6,bf8,19716.14,3286.023333333333,6,65.7,3182.38,3331.85,4.5,gpu1590=3311.78;gpu17010=3331.85;gpu27226=3182.38;gpu36479=3326.81;gpu42583=3267.49;gpu51771=3295.82
sweep_20260813_184243,6,fp16,9163.14,1527.1899999999998,6,61.1,1486.8,1546.82,3.9,gpu1590=1486.80;gpu17010=1546.44;gpu27226=1546.43;gpu36479=1526.89;gpu42583=1509.76;gpu51771=1546.82
sweep_20260813_184243,6,bf16,9869.05,1644.8416666666665,6,65.8,1608.13,1711.3,6.0,gpu1590=1608.13;gpu17010=1656.07;gpu27226=1634.96;gpu36479=1626.06;gpu42583=1632.53;gpu51771=1711.30
sweep_20260813_184243,6,fp32,920.42,153.40333333333334,6,97.5,152.57,154.42,1.2,gpu1590=152.57;gpu17010=154.42;gpu27226=153.33;gpu36479=153.69;gpu42583=152.84;gpu51771=153.56
sweep_20260813_184243,6,fp64,461.17,76.86166666666666,6,97.8,76.63,77.17,0.7,gpu1590=76.63;gpu17010=77.17;gpu27226=76.71;gpu36479=77.13;gpu42583=76.68;gpu51771=76.85
sweep_20260813_184243,7,fp4,16890.28,2412.8971428571426,7,24.1,1597.31,3095.37,48.4,gpu1590=3004.13;gpu11806=1763.48;gpu17010=2947.75;gpu27226=2672.79;gpu36479=3095.37;gpu42583=1809.45;gpu51771=1597.31
sweep_20260813_184243,7,fp6,8574.54,1224.9342857142858,7,12.2,1166.05,1240.06,6.0,gpu1590=1239.06;gpu11806=1238.75;gpu17010=1166.05;gpu27226=1237.36;gpu36479=1213.75;gpu42583=1240.06;gpu51771=1239.51
sweep_20260813_184243,7,bf6,8642.26,1234.6085714285714,7,12.3,1208.75,1240.53,2.6,gpu1590=1239.62;gpu11806=1238.61;gpu17010=1208.75;gpu27226=1236.83;gpu36479=1240.53;gpu42583=1238.77;gpu51771=1239.15
sweep_20260813_184243,7,fp8,25412.51,3630.3585714285714,7,72.6,3587.31,3727.16,3.8,gpu1590=3610.88;gpu11806=3604.96;gpu17010=3695.84;gpu27226=3599.06;gpu36479=3587.31;gpu42583=3587.31;gpu51771=3727.16
sweep_20260813_184243,7,bf8,23045.85,3292.2642857142855,7,65.8,3191.61,3388.32,5.8,gpu1590=3336.91;gpu11806=3301.84;gpu17010=3383.11;gpu27226=3191.61;gpu36479=3229.11;gpu42583=3214.95;gpu51771=3388.32
sweep_20260813_184243,7,fp16,10704.26,1529.18,7,61.2,1485.21,1552.98,4.4,gpu1590=1485.21;gpu11806=1543.08;gpu17010=1552.98;gpu27226=1527.10;gpu36479=1537.78;gpu42583=1509.28;gpu51771=1548.83
sweep_20260813_184243,7,bf16,11477.24,1639.6057142857142,7,65.6,1608.65,1673.21,3.9,gpu1590=1608.65;gpu11806=1647.26;gpu17010=1662.15;gpu27226=1633.68;gpu36479=1631.38;gpu42583=1620.91;gpu51771=1673.21
